genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Opera,Tomaso Albinoni,"Concerto In D For Oboe, Op. 7 No. 6",45wcXI9OAdQoM8YuyhChy2,13,0.691,0.415,652667,0.209,0.0122,A#,0.177,-12.13,Major,0.0393,150.052,04-Apr,0.296
Opera,Philippe Jaroussky,"Inno Ave Maria Stella (Il Secondo libro di toccate, canzone, versi d'inni, magnificat, gagliarde, correnti e altre partite, d'intavolatura di cimbalo e organo di Girolamo Frescobaldi organista in San Pietro di Roma, 1637)",4BK6Aa4SRfcT0BC81ol9IS,13,0.991,0.123,220347,0.00481,0.947,A,0.0851,-27.952,Minor,0.0433,76.309,04-Apr,0.172
Opera,Tomaso Albinoni,"12 Trio Sonatas, Op. 1, Sonata VIII in B Minor Talm I, 8: II. Allegro",4GmiBSCAEJaHjl18NBpg3Z,9,0.779,0.472,98840,0.076,0.00241,B,0.132,-16.548,Minor,0.0403,92.2,04-Apr,0.489
Opera,Tomaso Albinoni,"Violin Sonata in G Minor, T. So 33: IV. Sarabanda",5R1wIw9cOmgGw6b6YLE1o0,14,0.852,0.352,69160,0.148,0,F#,0.324,-17.473,Minor,0.0529,106.541,03-Apr,0.655
Opera,Tomaso Albinoni,"Concerto a cinque No. 9, Op. 7: II. Adagio (Oboe tacet)",6AAwoGJwHs1syKdiCyZizy,13,0.901,0.207,58933,0.0726,0.95,E,0.0968,-25.711,Major,0.046,45.482,04-Apr,0.0377
Opera,Jean-Philippe Rameau,Naïs - Ouverture,6MGPVZfZ1Y0Oz0bZJDhTOQ,10,0.839,0.416,241027,0.536,0.858,B,0.347,-13.765,Major,0.0495,124.657,03-Apr,0.602
Opera,Jean-Philippe Rameau,"Suite in E Major, RCT2: III. Musette en Rondeau",6gjx7bGBwULzUCN8LkpeNQ,11,0.993,0.394,139427,0.0251,0.909,E,0.091,-31,Major,0.0394,69.085,04-Apr,0.172
Opera,Jean-Baptiste Lully,"Alceste, LWV 50: 2ème Air, Les Démons (1674)",6jeGfBh72E9vEF50lRbvw7,13,0.784,0.419,208867,0.374,0.982,F,0.0685,-18.777,Minor,0.0815,57.376,04-Apr,0.642
Opera,Tomaso Albinoni,"Suonate a tre doi violini e violoncello col basso per l’organo, Opera prima, Sonata No. 8 in B Minor: III. Grave",7bgAnOCsywjX9LAhPuq2J3,11,0.884,0.0634,116667,0.0958,0.82,B,0.109,-19.933,Minor,0.0491,72.395,04-Apr,0.0375
Opera,Tomaso Albinoni,"12 Trio Sonatas, Op. 1, Sonata II in F Major, Talm I, 2: IV. Vivace",0MncA2EwJlG5mzZfOpHCBl,10,0.858,0.364,195467,0.15,0.00152,F,0.349,-15.318,Major,0.037,62.544,04-Apr,0.4
Pop,Post Malone,Over Now,09IOPhEh1OMe0HD9b36FJk,79,0.131,0.559,246987,0.761,1.60E-06,E,0.143,-4.041,Minor,0.0877,163.898,04-Apr,0.24
Pop,Gunna,Speed It Up,3BXXkwyhsHM0EPApHMhQC5,80,0.0394,0.912,179022,0.587,0.01,G,0.111,-7.395,Major,0.0582,143.027,04-Apr,0.435
Pop,Hozier,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,76,0.634,0.566,241693,0.664,0,E,0.116,-5.303,Minor,0.0464,128.945,04-Apr,0.437
Pop,Khalid,Another Sad Love Song,52Qu0no0NBho3zyRmjlsHn,77,0.412,0.834,244747,0.472,6.76E-05,F,0.0836,-7.777,Minor,0.0873,107.014,04-Apr,0.517
Pop,2 Chainz,Momma I Hit A Lick (feat. Kendrick Lamar),7jKUnzzOGhAlPjr7LkIUlE,76,0.202,0.796,173760,0.467,3.32E-05,B,0.206,-6.293,Major,0.34,179.974,03-Apr,0.4
Pop,Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq,77,0.00767,0.713,262693,0.526,0.000148,C#,0.124,-5.046,Major,0.032,131.05,04-Apr,0.131
Pop,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,78,0.15,0.703,193613,0.868,0.132,G,0.104,-4.661,Minor,0.0291,121.03,04-Apr,0.733
Pop,Rex Orange County,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ,80,0.646,0.384,252231,0.765,0.00352,F#,0.522,-4.463,Major,0.0579,129.903,04-Apr,0.567
Pop,G-Eazy,No Limit,2Xqd0wUttjueBfdcltADOv,78,0.0117,0.838,245387,0.771,0,C#,0.0853,-3.791,Major,0.244,175.957,04-Apr,0.405
Pop,Jimmie Allen,Best Shot,3VamXAvVMczcS2PTYtPfBQ,76,0.75,0.629,195053,0.464,0,E,0.0853,-8.72,Major,0.0334,156.051,04-Apr,0.523
Pop,Drake,Don’t Matter To Me (with Michael Jackson),6G8kHiVZ1jW7vHMPVRNZU0,82,0.493,0.826,245787,0.318,0.0131,A#,0.11,-12.391,Major,0.0574,103.002,04-Apr,0.138
Pop,Twenty One Pilots,Chlorine,23OXdR7YuUBVWh5hSnYJau,82,0.0735,0.609,324467,0.674,0.06,A#,0.345,-7.388,Minor,0.0548,90.009,04-Apr,0.315
Pop,Travis Scott,WAKE UP,20MuVazoNMv6xjKPnRFOxG,77,0.192,0.741,231964,0.645,0,B,0.163,-5.116,Minor,0.0963,149.07,04-Apr,0.488
Pop,The Weeknd,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,81,0.0762,0.735,211440,0.677,2.17E-05,D,0.111,-4.979,Major,0.093,100.584,04-Apr,0.188
Pop,NAV,Champion (feat. Travis Scott),6nO3tr47nr2P7f3hXb8JIo,80,0.381,0.642,195053,0.782,0,F,0.108,-3.395,Minor,0.0477,162.005,04-Apr,0.396
Pop,Beyoncé,Halo,4JehYebiI9JE8sR8MisGVb,80,0.272,0.508,261640,0.72,0,B,0.0563,-5.908,Minor,0.0628,79.983,04-Apr,0.472
Pop,Gunna,Sold Out Dates (feat. Lil Baby),72LlwJM24dWKpFLVB3PWWQ,79,0.433,0.824,166298,0.554,0,E,0.124,-7.118,Minor,0.115,127.003,04-Apr,0.316
Pop,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),7IBSffWIu7P2MC7kMwy2FM,79,0.307,0.877,226743,0.477,0,A,0.0929,-7.379,Minor,0.0587,127.023,04-Apr,0.552
Pop,ZAYN,Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,84,0.101,0.258,239000,0.437,1.27E-06,B,0.106,-6.593,Minor,0.039,180.043,04-Apr,0.0967
Pop,J. Cole,G.O.M.D.,16qYlQ6koFxYVbiJbGHblz,78,0.331,0.889,301133,0.393,8.67E-06,E,0.283,-10.821,Minor,0.267,128.065,04-Apr,0.304
Pop,Billie Eilish,Bored,04sN26COy28wTXYj3dMoiZ,80,0.913,0.606,180933,0.328,0.00131,G,0.0789,-12.906,Major,0.0512,119.932,04-Apr,0.105
Pop,Migos,Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,79,0.061,0.927,343150,0.665,0,B,0.123,-5.313,Major,0.244,127.076,04-Apr,0.175
Pop,blackbear,1 SIDED LOVE,13TMuxC8tdSfthXpHG9D26,76,0.236,0.584,170667,0.42,0,G#,0.119,-7.827,Major,0.0322,90.051,04-Apr,0.283
Pop,Camila Cabello,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,81,0.181,0.637,226973,0.713,0.000637,C,0.137,-4.333,Major,0.0747,129.923,04-Apr,0.243
Pop,Queen Naija,Medicine,4lFfMRH0YH4pW5gczTDbNC,75,0.24,0.741,219136,0.37,0,G#,0.118,-8.437,Minor,0.324,116.06,04-Apr,0.13
